   x      -1+2*x-3*x*x                 1/x + 1      x+1 + (x+1)*(x+1) +1/(x+1)      
 0.0              -1.0        Division by zero                             3.0      
 0.5             -0.75                     3.0               4.416666666666666      
 1.0              -2.0                     2.0                             6.5      
 1.5             -4.75      1.6666666666666665                            9.15      
 2.0              -9.0                     1.5              12.333333333333334      
 2.5            -14.75                     1.4              16.035714285714285      
 3.0             -22.0      1.3333333333333333                           20.25      
 3.5            -30.75      1.2857142857142856               24.97222222222222      
 4.0             -41.0                    1.25                            30.2      
 4.5            -52.75      1.2222222222222223               35.93181818181819      
 5.0             -66.0                     1.2              42.166666666666664      
 5.5            -80.75      1.1818181818181819               48.90384615384615      
 6.0             -97.0      1.1666666666666667              56.142857142857146      
 6.5           -114.75      1.1538461538461537               63.88333333333333      
 7.0            -134.0      1.1428571428571428                          72.125      
 7.5           -154.75      1.1333333333333333               80.86764705882354      
 8.0            -177.0                   1.125               90.11111111111111      
 8.5           -200.75      1.1176470588235294               99.85526315789474      
 9.0            -226.0      1.1111111111111112                           110.1      
 9.5           -252.75      1.1052631578947367               120.8452380952381      
10.0            -281.0                     1.1               132.0909090909091      
