   x      -1+2*x-3*x*x      nu v samom dele ya hochu zachet                 1/x + 1      x+1 + (x+1)*(x+1) +1/(x+1)      
 0.0              -1.0                   Unexpected symbol!        Division by zero                             3.0      
 1.0              -2.0                   Unexpected symbol!                     2.0                             6.5      
 2.0              -9.0                   Unexpected symbol!                     1.5              12.333333333333334      
 3.0             -22.0                   Unexpected symbol!      1.3333333333333333                           20.25      
 4.0             -41.0                   Unexpected symbol!                    1.25                            30.2      
 5.0             -66.0                   Unexpected symbol!                     1.2              42.166666666666664      
 6.0             -97.0                   Unexpected symbol!      1.1666666666666667              56.142857142857146      
 7.0            -134.0                   Unexpected symbol!      1.1428571428571428                          72.125      
 8.0            -177.0                   Unexpected symbol!                   1.125               90.11111111111111      
 9.0            -226.0                   Unexpected symbol!      1.1111111111111112                           110.1      
10.0            -281.0                   Unexpected symbol!                     1.1               132.0909090909091      
